run_id,model,dataset,template,shots,seed,n_samples_meta,n_predictions_lines,complete,first_pred_id,sha1_of_sorted_id_list,timestamps,notes
mistral7b__FPB__B__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T23:14:39.711710+00:00;completed=2026-05-03T23:16:06.373456+00:00,
mistral7b__FPBall__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPBall,A,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:28:33.954696+00:00;completed=2026-06-25T14:31:33.387008+00:00,
mistral7b__FPBall__A__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPBall,A,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:31:33.405935+00:00;completed=2026-06-25T14:34:29.020482+00:00,
mistral7b__FPBall__B__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPBall,B,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:34:29.035565+00:00;completed=2026-06-25T14:35:36.948538+00:00,
mistral7b__FPBall__B__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPBall,B,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:35:36.972005+00:00;completed=2026-06-25T14:36:59.089349+00:00,
ner__mistral7b__FIN__paper__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FIN,paper,0,42,98,98,True,FIN_00000,be9b89d8a53b67a871263f5ca7a8fb3abb59277e,started=2026-05-11T00:14:45.873671+00:00;completed=2026-05-11T00:20:12.595770+00:00;reparsed=2026-05-11T00:31:37.885640+00:00,task=ner
ner__plutus8b__FIN__paper__0shot__seed42,TheFinAI/plutus-8B-instruct,FIN,paper,0,42,98,98,True,FIN_00000,be9b89d8a53b67a871263f5ca7a8fb3abb59277e,started=2026-05-11T00:26:00.663479+00:00;completed=2026-05-11T00:31:19.219532+00:00;reparsed=2026-05-11T00:31:37.912463+00:00,task=ner
ner__qwen25_7b__FIN__paper__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FIN,paper,0,42,98,98,True,FIN_00000,be9b89d8a53b67a871263f5ca7a8fb3abb59277e,started=2026-05-11T00:20:42.476566+00:00;completed=2026-05-11T00:26:00.647575+00:00;reparsed=2026-05-11T00:31:37.926573+00:00,task=ner
plutus8b__FiNER-ORD__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FiNER-ORD,A,0,42,300,300,True,FiNERORD_00004,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-06-25T19:56:36.798770+00:00;completed=2026-06-25T20:00:42.031493+00:00,backend=modal
plutus8b__FiQA__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,A,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-04T07:39:57.412475+00:00;completed=2026-05-04T07:40:31.681915+00:00,
plutus8b__FiQA__A__3shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,A,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-04T07:40:31.764319+00:00;completed=2026-05-04T07:42:07.940030+00:00,
plutus8b__FiQA__B__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,B,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-04T07:42:08.053508+00:00;completed=2026-05-04T07:42:52.273532+00:00,
plutus8b__FiQA__B__3shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,B,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-04T07:42:52.363759+00:00;completed=2026-05-04T07:43:59.861064+00:00,
plutus8b__FPB__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,A,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-04T07:35:12.839781+00:00;completed=2026-05-04T07:36:29.773025+00:00,
plutus8b__FPB__A__3shot__seed42,TheFinAI/plutus-8B-instruct,FPB,A,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-04T07:36:44.709291+00:00;completed=2026-05-04T07:37:57.451571+00:00,
plutus8b__FPB__B__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,B,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-04T07:37:57.520421+00:00;completed=2026-05-04T07:38:44.627643+00:00,
plutus8b__FPB__B__3shot__seed42,TheFinAI/plutus-8B-instruct,FPB,B,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-04T07:38:44.709544+00:00;completed=2026-05-04T07:39:57.296799+00:00,
plutus8b__FPBall__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FPBall,A,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:36:59.104380+00:00;completed=2026-06-25T14:38:35.605521+00:00,
plutus8b__FPBall__A__3shot__seed42,TheFinAI/plutus-8B-instruct,FPBall,A,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:38:35.625166+00:00;completed=2026-06-25T14:39:40.422665+00:00,
plutus8b__FPBall__B__0shot__seed42,TheFinAI/plutus-8B-instruct,FPBall,B,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:39:40.434899+00:00;completed=2026-06-25T14:40:26.349883+00:00,
plutus8b__FPBall__B__3shot__seed42,TheFinAI/plutus-8B-instruct,FPBall,B,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:40:26.369613+00:00;completed=2026-06-25T14:41:30.436414+00:00,
qwen25_7b__FiNER-ORD__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiNER-ORD,A,0,42,300,300,True,FiNERORD_00004,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-05-11T14:17:43.180718+00:00;completed=2026-05-11T14:25:16.800997+00:00,backend=modal
qwen25_7b__FiQA__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,A,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T22:52:25.451760+00:00;completed=2026-05-03T22:55:08.796685+00:00,
qwen25_7b__FiQA__A__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,A,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T22:55:08.884129+00:00;completed=2026-05-03T22:58:20.590262+00:00,
qwen25_7b__FiQA__B__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,B,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T22:58:20.674137+00:00;completed=2026-05-03T23:01:16.626348+00:00,
qwen25_7b__FiQA__B__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,B,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T23:01:16.709717+00:00;completed=2026-05-03T23:04:41.306525+00:00,
qwen25_7b__FPB__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,A,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T22:38:56.092785+00:00;completed=2026-05-03T22:42:40.766917+00:00,
qwen25_7b__FPB__A__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,A,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T22:42:42.543158+00:00;completed=2026-05-03T22:45:57.372008+00:00,
qwen25_7b__FPB__B__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,B,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T22:45:57.417824+00:00;completed=2026-05-03T22:48:58.420990+00:00,
qwen25_7b__FPB__B__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,B,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T22:48:58.514052+00:00;completed=2026-05-03T22:52:25.371113+00:00,
qwen25_7b__FPBall__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPBall,A,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:17:02.216739+00:00;completed=2026-06-25T14:20:32.551863+00:00,
qwen25_7b__FPBall__A__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPBall,A,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:20:32.569132+00:00;completed=2026-06-25T14:23:12.471084+00:00,
qwen25_7b__FPBall__B__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPBall,B,0,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:23:12.487414+00:00;completed=2026-06-25T14:25:42.715058+00:00,
qwen25_7b__FPBall__B__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPBall,B,3,42,300,300,True,FPB_00342,a08a766e567ee34bf99641fb2f3fababd9780764,started=2026-06-25T14:25:42.730882+00:00;completed=2026-06-25T14:28:33.922357+00:00,
qwen3_4b__FiNER-ORD__A__0shot__seed42,Qwen/Qwen3-4B-Instruct-2507,FiNER-ORD,A,0,42,300,300,True,FiNERORD_00004,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-06-25T20:03:51.247836+00:00;completed=2026-06-25T20:06:32.174964+00:00,backend=modal
qwen3_8b__FiNER-ORD__A__0shot__seed42,Qwen/Qwen3-8B,FiNER-ORD,A,0,42,300,300,True,FiNERORD_00004,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-06-25T20:00:42.135316+00:00;completed=2026-06-25T20:03:51.184586+00:00,backend=modal
vader__FiQA__seed42,vaderSentiment,FiQA,,,42,1173,1173,True,FiQA_00000,e07153f74c52dc055d23d11294279aa55e8d1940,started=2026-05-03T22:18:40.215155+00:00;completed=2026-05-03T22:18:40.289138+00:00,
vader__FPB__seed42,vaderSentiment,FPB,,,42,690,690,True,FPB_00031,87767a71104511771fd756f740afc465f8331373,started=2026-05-03T22:18:38.644101+00:00;completed=2026-05-03T22:18:38.698003+00:00,
vader__FPBall__seed42,vaderSentiment,FPBall,-,0,42,452,452,True,FPB_00001,ac544c21c814dd32bee4872668f5333ae1a43b8c,started=2026-06-25T14:16:31.140332+00:00;completed=2026-06-25T14:16:31.160799+00:00,
