claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
R088,Results-sentiment,matched,results/summary/final_table.csv,"finbert FPB f1_macro=0.9254; finbert FiQA f1_macro=0.482",0.925,Rounds to 0.925 exactly; cross-checked recomputed_metrics.csv.
R089,Results-sentiment,matched,results/summary/final_table.csv,"finbert FiQA f1_macro=0.482",0.482,Exact match; cross-checked recomputed_metrics.csv.
R090,Results-sentiment,matched,results/summary/final_table.csv,"(0.9254-0.482)*100=44.3 points",44-point,Recomputed gap 44.3 rounds to 44 points.
R091,Results-sentiment,matched,results/summary/final_table.csv,mistral7b model = Mistral-7B-Instruct-v0.3,7B,Model naming/size consistent with final_table.csv.
R092,Results-sentiment,matched,results/summary/final_table.csv,"mistral7b FPB A/0shot f1_macro=0.803",0.803,Exact match.
R093,Results-sentiment,matched,results/summary/final_table.csv,"mistral7b FPB B/0shot f1_macro=0.6889",0.689,Rounds to 0.689 exactly.
R094,Results-sentiment,matched,results/summary/final_table.csv,"(0.803-0.6889)*100=11.4",11.4 pt,Recomputed gap 11.4 matches exactly.
R095,Results-sentiment,matched,results/summary/final_table.csv,plutus8b model = TheFinAI/plutus-8B-instruct,8B,Model naming/size consistent with final_table.csv.
R096,Results-sentiment,matched,results/summary/final_table.csv,"plutus8b FiQA A/0shot f1_macro=0.5966",0.597,Rounds to 0.597 exactly.
R097,Results-sentiment,matched,results/summary/final_table.csv,"plutus8b FiQA B/0shot f1_macro=0.4322",0.432,Rounds to 0.432 exactly.
R098,Results-sentiment,matched,results/summary/final_table.csv,"(0.5966-0.4322)*100=16.4",16.4 pt,Recomputed F1 gap 16.4 matches exactly.
R099,Results-sentiment,matched,results/summary/final_table.csv,"(0.6567-0.4)*100=25.7",26 pt,Recomputed accuracy gap 25.7 rounds to 26 (printed-precision rounding).
R100,Results-sentiment,matched,results/summary/final_table.csv,qwen25_7b model = Qwen/Qwen2.5-7B-Instruct,7B,Model naming/size consistent with final_table.csv.
R101,Results-sentiment,matched,results/summary/final_table.csv,"qwen25_7b FiQA A/0shot f1_macro=0.5785",0.579,Rounds to 0.579 exactly.
R102,Results-sentiment,matched,results/summary/final_table.csv,"qwen25_7b FiQA B/0shot f1_macro=0.6727",0.673,Rounds to 0.673 exactly.
