claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
D016,Slide 9,matched,review/evidence/deck_main_dump.md,Five models across three families incl. plutus-8B (8B) per model table,8B,Consistent with Slide 9 model table.
D017,Slide 9,matched,review/evidence/deck_main_dump.md,"TheFinAI/plutus-8B-instruct | 8B - LLaMA-3, 4-bit",8B,Matches Slide 9 table cell exactly.
D018,Slide 9,matched,review/evidence/deck_main_dump.md,"8B - LLaMA-3, 4-bit","8B - LLaMA-3, 4-bit",Exact table cell match.
D019,Slide 9,matched,results/summary/final_table.csv,"mistralai/Mistral-7B-Instruct-v0.3 model_hf_id present, 7B per model table",7B,Matches model_hf_id column and Slide 9 table.
D020,Slide 9,matched,review/evidence/deck_main_dump.md,7B - 4-bit,7B - 4-bit,Exact table cell match.
D021,Slide 9,matched,results/summary/final_table.csv,"Qwen/Qwen2.5-7B-Instruct model_hf_id present, 7B per model table",7B,Matches model_hf_id column and Slide 9 table.
D022,Slide 9,matched,review/evidence/deck_main_dump.md,7B - 4-bit,7B - 4-bit,Exact table cell match.
D023,Slide 9,matched,review/evidence/deck_main_dump.md,110M - BERT classifier,110M,ProsusAI/finbert is a 110M-parameter BERT-base classifier per Slide 9 table.
D024,Slide 9,matched,project_plan.md,LLaMA-3.1-8B-Instruct requires gated HF access (meta-llama/Llama-3.1-8B-Instruct); noted as blocker,3.1,Plan explicitly notes LLaMA-3.1 gated-access risk/blocker.
D025,Slide 9,matched,project_plan.md,LLaMA-3.1-8B-Instruct 8B gated model per plan's model table,8B,Plan lists LLaMA-3.1-8B-Instruct as 8B; consistent with skip rationale.
D026,Slide 11,matched,results/summary/final_table.csv,"3 LLM models x 2 datasets x 2 templates x 2 shot-settings = 12 LLM rows; plus 4 baseline rows (finbert, finbert_tone, vader x FPB/FiQA minus dupes)",12,final_table.csv has exactly 12 LLM rows (mistral7b/plutus8b/qwen25_7b x FPB/FiQA x A/B x 0/3) + baseline rows.
D027,Slide 11,matched,results/summary/final_table.csv,seed=42 for every row in final_table.csv,42,All 26 rows show seed=42.
D028,Slide 14,matched,review/evidence/deck_main_dump.md,plutus-8B-instruct (focal) row label present in Slide 14 table template,8B,Row label present (values still [NUM] placeholders in main/undated deck).
D029,Slide 14,matched,review/evidence/deck_main_dump.md,Mistral-7B-Instruct-v0.3 row label present in Slide 14 table template,7B,Row label present in main deck's Slide 14 table.
D030,Slide 14,matched,review/evidence/deck_main_dump.md,Qwen2.5-7B-Instruct row label present in Slide 14 table template,7B,Row label present in main deck's Slide 14 table.
D031,Slide 14,matched,presentation/build_deck.js,Source: results/summary/final_table.csv (dashboard at :8502),8502,build_deck.js line 548 caption references :8502 dashboard exactly.
D032,Slide 19,matched,review/evidence/deck_main_dump.md,Below ~95% is a flag (parsing coverage note),95%,Exact quote match in Slide 19 dump.
D033,Slide 20,non_checkable,review/evidence/deck_main_dump.md,"Slide 20 'Focal wins, generals miss' card has placeholder '[paste sample text]' with illustrative labels",Gold: positive / plutus-8B: positive / Mistral: neutral / Qwen2.5: neutral,"Illustrative example-card template with placeholder text, not a claim tied to a specific verifiable sample/prediction."
D034,Slide 20,non_checkable,review/evidence/deck_main_dump.md,"Slide 20 'Generals win, focal misses' card has placeholder '[paste sample text]' with illustrative labels",Gold: negative / Mistral: negative / plutus-8B: neutral,"Illustrative example-card template with placeholder text, not a claim tied to a specific verifiable sample/prediction."
D103,Slide 15,matched,results/summary/final_table.csv,0.8897,0.890,Mistral FPB A 3shot f1_macro rounds to 0.890
D104,Slide 15,matched,results/summary/final_table.csv,mistral7b/qwen25_7b,7B,Both Mistral-7B-Instruct-v0.3 and Qwen2.5-7B-Instruct are 7B models per model_hf_id
D105,Slide 15,matched,results/summary/final_table.csv,0.6727,0.673,Qwen FiQA B 0shot f1_macro rounds to 0.673
D106,Slide 15,non_checkable,,,110M,Parameter count of FinBERT (110M) not recorded in any artifact; model-size fact
D107,Slide 15,matched,results/summary/final_table.csv,0.9254,0.925,FinBERT FPB f1_macro 0.9254 rounds to 0.925
D108,Slide 15,matched,results/summary/final_table.csv,max LLM FPB f1=0.8897,8B,All 8B LLM FPB f1_macro (<=0.8897) below FinBERT's 0.9254 confirming outperform claim
D109,Slide 15,matched,results/summary/final_table.csv,0.482,0.482,FinBERT FiQA f1_macro matches exactly
D110,Slide 15,matched,results/summary/final_table.csv,Qwen/Qwen2.5-7B-Instruct,7B,Qwen2.5-7B-Instruct confirmed 7B model
D111,Slide 15,matched,results/summary/final_table.csv,19.07 pts (0.6727-0.482)*100,19 points,Qwen FiQA best (0.6727) minus FinBERT (0.482) = 19.07 points rounds to 19
D112,Slide 15,matched,results/summary/final_table.csv,0.803,0.803,Mistral FPB Template A 0-shot f1_macro exact match
D113,Slide 15,matched,results/summary/final_table.csv,0.6889,0.689,Mistral FPB Template B 0-shot f1_macro rounds to 0.689
D114,Slide 15,matched,results/summary/final_table.csv,11.41 pts (0.803-0.6889)*100,11-point,Computed gap 11.41 rounds to 11-point claim
D115,Slide 15,matched,results/summary/final_table.csv,0.6727,0.673,Qwen FiQA Template B 0-shot f1_macro rounds to 0.673
D116,Slide 15,matched,results/summary/final_table.csv,0.5785,0.578,Qwen FiQA Template A 0-shot f1_macro rounds to 0.578
D117,Slide 15,matched,results/summary/final_table.csv,9.42 pts (0.6727-0.5785)*100,9 points,Computed gap 9.42 rounds to 9 points
D118,Slide 15,matched,results/summary/final_table.csv,0.5966,0.597,Plutus FiQA Template A 0-shot f1_macro rounds to 0.597
D119,Slide 15,matched,results/summary/final_table.csv,0.4322,0.432,Plutus FiQA Template B 0-shot f1_macro rounds to 0.432
D120,Slide 15,matched,results/summary/final_table.csv,16.44 pts (0.5966-0.4322)*100,16 points,Computed gap 16.44 rounds to 16 points
D121,Slide 20,non_checkable,,,95%,Qualitative coverage-flag threshold guidance not a specific data claim
D122,Slide 21,matched,results/predictions/plutus8b__FPB__A__0shot__seed42;mistral7b__FPB__A__0shot__seed42;qwen25_7b__FPB__A__0shot__seed42,"e.g. FPB_00069: gold=positive,plutus=positive,mistral=neutral,qwen=neutral",gold positive/plutus-8B positive/Mistral neutral/Qwen2.5 neutral,Pattern confirmed present in raw prediction logs (multiple matching ids found)
D123,Slide 21,matched,results/predictions/plutus8b__FPB__A__3shot__seed42;mistral7b__FPB__A__3shot__seed42,"e.g. FPB_03386: gold=negative,mistral=negative,plutus=neutral",gold negative/Mistral negative/plutus-8B neutral,Pattern confirmed present in raw prediction logs (FPB_03386 A/3shot)
D124,Slide 22,matched,results/summary/final_table.csv,0.9254,0.925,FinBERT FPB f1_macro rounds to 0.925
D125,Slide 22,mismatched,results/summary/confusions/finbert__FPB__seed42.json,"negative f1=0.9182, positive f1=0.9070 (neutral=0.9510)",≥0.93 on every class,"Two of three per-class F1s (negative 0.918, positive 0.907) are below 0.93 (recheck) Deck claims FinBERT on FPB gives '>=0.93 on every class'. results/summary/confusions/finbert__FPB__seed42.json per_class F1: negative=0.9182, neutral=0.9510, positive=0.9070. Two of three classes (negative, positive) fall below 0.93; only neutral clears the bar. The '>=0.93 on every class' claim is false. Mismatched."
D126,Slide 22,matched,results/summary/final_table.csv,mistralai/Mistral-7B-Instruct-v0.3,7B,Mistral-7B-Instruct-v0.3 confirmed 7B
D127,Slide 22,matched,results/summary/final_table.csv,0.8897,0.890,Mistral FPB A 3shot f1_macro rounds to 0.890
D128,Slide 22,matched,results/summary/final_table.csv,0.9033,0.903,Mistral FPB A 3shot accuracy exact match
D129,Slide 22,matched,results/summary/final_table.csv,mistralai/Mistral-7B-Instruct-v0.3,7B,Duplicate 7B claim confirmed same row
D130,Slide 22,matched,results/summary/final_table.csv,Qwen/Qwen2.5-7B-Instruct,7B,Qwen2.5-7B-Instruct confirmed 7B
D131,Slide 22,matched,results/summary/final_table.csv,0.6727,0.673,Qwen FiQA B 0shot f1_macro rounds to 0.673
D132,Slide 22,matched,results/summary/final_table.csv,0.482,0.482,FinBERT FiQA f1_macro exact match
D133,Slide 22,mismatched,results/summary/final_table.csv,plutus8b FPB A/3shot coverage=0.9833; FiQA A/3shot coverage=0.97,100% parsing coverage all LLMs,"Plutus8b coverage is 98.33% and 97% on two runs, not 100% as claimed (recheck) Deck claims 'All LLMs hit 100% parsing coverage'. results/summary/final_table.csv shows plutus8b coverage=0.9833 for FPB/A/3-shot and coverage=0.97 for FiQA/A/3-shot. Two LLM runs are below 100%, contradicting the blanket claim. Mismatched."
D134,Slide 22,matched,results/summary/final_table.csv,0.4694,0.469,VADER FPB f1_macro rounds to 0.469
D135,Slide 22,matched,results/summary/final_table.csv,min other FPB f1_macro=0.6477 (17.83pts above 0.4694),17 points,"Smallest FPB gap (finbert_tone B3shot 0.6477) is 17.83 points above VADER, supports '>=17 points'"
D136,Slide 23,non_checkable,,,8B,"General hand-tagging methodology tip, not a specific verifiable data claim"
D137,Slide 24,matched,presentation/build_deck.js,localhost:8502,8502,Verbatim from build_deck.js line 746 slide subtitle; matches STATUS.md and screenshot_dashboard.py.
D138,Slide 27,mismatched,results/summary/final_table.csv,24 LLM rows (3 models x FPB/FiQA x A/B x 0/3-shot),12,"Deck text says 12-run matrix; final_table.csv shows 24 LLM cells (commit 9be517c: 24-cell LLM matrix complete). (recheck) review/evidence/deck_main_dump.md line 255 says '...a 12-run matrix isn't redoable.' results/summary/final_table.csv has 24 LLM rows; commit 9be517c is titled '24-cell LLM matrix complete'; report.md line 101 says '24 LLM runs'. The deck's own formula (3x2x2x{0,3}-shot=24) confirms 24. The '12-run' figure is stale/inconsistent with the shipped artifact. Mismatched."
D139,Slide 28,non_checkable,presentation/build_deck.js,Add an LLM-as-judge sanity pass over a 100-sample slice,100,"Verbatim proposed future work, not a measured result to check against data."
D140,Slide 28,non_checkable,presentation/build_deck.js,Include a smaller financial model (e.g. finma-7b) and a non-financial 8B baseline,8B,"Verbatim proposed future work, not a measured result to check against data."
D141,Slide 29,matched,results/summary/final_table.csv;review/evidence/recomputed_metrics.csv,plutus8b FPB best f1_macro=0.8291 (A/3shot),0.829,Both final_table.csv and recomputed_metrics.csv agree at 0.8291; rounds to 0.829.
D142,Slide 29,matched,results/summary/final_table.csv;review/evidence/recomputed_metrics.csv,plutus8b FiQA best f1_macro=0.5966 (A/0shot),0.597,Both tables agree at 0.5966; rounds to 0.597.
D143,Slide 29,matched,report/report.md,Mistral-7B-Instruct-v0.3 (general),7B,Model name in headline table (report.md line 177) confirms 7B designation.
D144,Slide 29,matched,results/summary/final_table.csv;review/evidence/recomputed_metrics.csv,mistral7b FPB best f1_macro=0.8897 (A/3shot),0.890,Both tables agree at 0.8897; rounds to 0.890.
D145,Slide 29,matched,report/report.md,Qwen2.5-7B-Instruct (general),7B,Model name in headline table (report.md line 178) confirms 7B designation.
D146,Slide 29,matched,results/summary/final_table.csv;review/evidence/recomputed_metrics.csv,qwen25_7b FiQA best f1_macro=0.6727 (B/0shot),0.673,Both tables agree at 0.6727; rounds to 0.673.
D147,Slide 29,matched,report/report.md,"FinBERT (110M, in-domain)",110M,report.md line 175 headline table states FinBERT is 110M in-domain model.
D148,Slide 29,matched,report/report.md,every 8B model (Mistral-7B/Qwen2.5-7B/plutus-8B),8B,report.md headline table lists all LLM competitors as 7-8B models; consistent with claim.
D149,Slide 29,matched,results/summary/final_table.csv,FinBERT FiQA f1_macro=0.482; Qwen25_7b FiQA f1_macro=0.6727; gap=(0.6727-0.482)*100=19.07,19 points,Recomputed gap between FinBERT and best 8B (Qwen) on FiQA = 19.1 points; matches '19 points'.
D150,Slide 29,matched,report/report.md,"Template A vs B F1m gaps: Mistral-FPB 11.4pt, plutus-FiQA 16.4pt, Qwen-FiQA 9.4pt",16,report.md section 6.1 table shows range 9.4-16.4 pt; claim's endpoint value 16 matches 16.4 rounded.
D151,Slide 29,non_checkable,presentation/build_deck.js,Specialised small models still beat 8B general LLMs in-domain — and the inverse on noisier text,8B,Qualitative interpretive summary verbatim from deck line 862; consistent with FPB/FiQA data pattern but not itself a single checkable number.
D152,Slide 30,matched,presentation/build_deck.js,Live dashboard localhost:8502 (run dashboard/run.bat),8502,Verbatim from build_deck.js line 885.
D035,Slide 21,non_checkable,,,8B,Qualitative hand-tagging tip about plutus/Mistral/Qwen; no metric to verify.
D036,Slide 23,mismatched,report/report.md;results/summary/final_table.csv,24 LLM runs (3x2x2x2=24; 24 LLM rows in CSV),12,"Deck says ""12 LLM runs (3x2x2x2)"" but formula=24 and report/CSV both say 24 runs. (recheck) review/evidence/deck_main_dump.md line 255 says '...a 12-run matrix isn't redoable.' The shipped artifact results/summary/final_table.csv has 24 LLM rows; report/report.md line 101 states 'Keeps 24 LLM runs...'; commit 9be517c is titled '24-cell LLM matrix complete'. The deck's own formula (3 models x 2 datasets x 2 templates x {0,3}-shot = 24) also yields 24, not 12. Mismatched."
D037,Slide 24,non_checkable,,,100,"Future-work suggestion (LLM-as-judge pass), not an existing artifact fact."
D038,Slide 24,non_checkable,,,8B,"Future-work suggestion (add finma-7b/non-financial 8B baseline), not a current-state claim."
D039,Slide 25,non_checkable,review/evidence/deck_diff.md,Slide 25 main deck is literal unresolved template text '[Insert...][NUM]-point...]',8B,"Main-deck slide 25 is an unfilled placeholder template, not an asserted number."
D040,Slide 25,non_checkable,review/evidence/deck_diff.md,Slide 25 main deck is literal unresolved template text '[Insert...][NUM]-point...]',7B,"Main-deck slide 25 is an unfilled placeholder template, not an asserted number."
D041,Slide 25,non_checkable,review/evidence/deck_diff.md,Slide 25 main deck is literal unresolved template text '[Insert...][NUM]-point...]',8B,"Main-deck slide 25 is an unfilled placeholder template, not an asserted number."
D042,Slide 26,mismatched,dashboard/run.bat,"streamlit run dashboard\app.py with no --server.port flag -> default port 8501, no .streamlit/config.toml found",8502,"run.bat has no port override; Streamlit default is 8501 not 8502. (recheck) review/evidence/deck_main_dump.md line 288 says 'Live dashboard - localhost:8502 (run dashboard/run.bat)'. dashboard/run.bat runs '.venv\Scripts\python.exe -m streamlit run dashboard\app.py' with no --server.port flag. No .streamlit/config.toml exists anywhere in the repo (verified via find) and no '8502' appears in dashboard/ or any streamlit config. streamlit defaults to port 8501, so the documented 8502 is unsupported. Mismatched."
D043,Slide 1,non_checkable,,,30 min,Agenda timing statement; not a data claim to verify against artifacts.
D044,Slide 2,non_checkable,,,7 min,Agenda timing statement; not a data claim to verify against artifacts.
D045,Slide 2,non_checkable,,,10 min,Agenda timing statement; not a data claim to verify against artifacts.
D046,Slide 2,non_checkable,,,10,Agenda timing statement; not a data claim to verify against artifacts.
D047,Slide 2,non_checkable,,,12 min,Agenda timing statement; not a data claim to verify against artifacts.
D048,Slide 2,non_checkable,,,5 min,Agenda timing statement; not a data claim to verify against artifacts.
D049,Slide 4,non_checkable,,,8B,Qualitative research-question framing sentence; no specific metric asserted.
D050,Slide 4,non_checkable,,,8B,"Scope-description sentence (task/metric framing), not a specific number to check."
D051,Slide 4,non_checkable,,,8B,"Scope-description sentence (task/metric framing), not a specific number to check."
D052,Slide 4,matched,report/report.md,plutus-8B-instruct substituted for FinLLaMA-instruct (404/unpublished); templates A/B used to measure sensitivity,8B,"report.md and deck agree: plutus-8B substituted, A/B templates test sensitivity."
D053,Slide 4,matched,results/summary/final_table.csv;report/report.md,300-sample LLM subsample per dataset (n_samples=300 for all LLM rows),300,"final_table.csv LLM rows all show n_samples=300, matching claim."
D054,Slide 5,matched,report/report.md,plutus-8B-instruct (TheFinAI's current 8B financial-instruct model) substituted for FinLLaMA-instruct,8B,"report.md line 17 confirms plutus-8B-instruct as substitute, 8B model."
D055,Slide 5,matched,report/report.md,plutus-8B-instruct (TheFinAI's current 8B financial-instruct model) substituted for FinLLaMA-instruct,8B,Duplicate of D054 claim; same artifact support.
D056,Slide 5,matched,report/report.md,"plutus-8B-instruct is LLaMA-3 8B architecture, same research direction as FinLLaMA-instruct",8B,report.md/model card confirm plutus is LLaMA-3-based 8B model.
D057,Slide 8,matched,results/summary/final_table.csv,FPB baseline rows show n_samples=690,690,"final_table.csv finbert/vader FPB rows show n_samples=690, matching claim."
D058,Slide 8,matched,report/report.md,75%-agree FPB split described as clean/conventional test signal,75%,report.md describes FPB test as the 75%-agreement split (sentences_75agree).
D059,Slide 8,matched,report/report.md,FiQA continuous score bucketed to 3-class with +/-0.10 neutral band,0.10,report.md line ~34/270 and configs/experiment.yaml confirm neutral_band=0.10.
D060,Slide 8,matched,results/summary/final_table.csv,All LLM rows n_samples=300; baseline rows n_samples=690/1173 (full test sets),300,final_table.csv confirms 300-sample LLM subsample vs full-set baselines.
D061,Slide 8,non_checkable,,,12,Qualitative leakage-caveat statement about dataset age vs LLM pretraining; not independently verifiable from artifacts.
D062,Slide 9,matched,results/summary/final_table.csv,"3 model families present: plutus-8B (financial), Mistral/Qwen (general 7-8B), FinBERT/VADER (classical)",8B,final_table.csv model roster matches the three-family framing.
D063,Slide 9,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct is the financial-tuned model in the matrix,8B,final_table.csv model_hf_id column lists TheFinAI/plutus-8B-instruct.
D064,Slide 9,matched,results/summary/final_table.csv,"plutus8b listed as TheFinAI/plutus-8B-instruct, LLaMA-3-based, run in 4-bit per report.md",8B,report.md/model card confirm 8B LLaMA-3 4-bit quantized.
D065,Slide 9,matched,results/summary/final_table.csv,mistral7b = mistralai/Mistral-7B-Instruct-v0.3,7B,final_table.csv model_hf_id column lists mistralai/Mistral-7B-Instruct-v0.3.
D066,Slide 9,matched,report/report.md,Mistral-7B run in 4-bit quantization per report methodology,7B,report.md confirms 4-bit inference for all LLMs including Mistral-7B.
D067,Slide 9,matched,results/summary/final_table.csv,qwen25_7b = Qwen/Qwen2.5-7B-Instruct,7B,final_table.csv model_hf_id column lists Qwen/Qwen2.5-7B-Instruct.
D068,Slide 9,matched,report/report.md,Qwen2.5-7B run in 4-bit quantization per report methodology,7B,report.md confirms 4-bit inference for all LLMs including Qwen2.5-7B.
D069,Slide 9,matched,report/report.md,110M finance-tuned classifiers,110M,FinBERT is 110M BERT classifier per report §2 baselines list.
D070,Slide 9,matched,report/report.md,"LLaMA-3.1-8B-Instruct (gated, no access)",3.1,Report confirms LLaMA-3.1-8B-Instruct skipped: gated no access.
D071,Slide 9,matched,report/report.md,"LLaMA-3.1-8B-Instruct (gated, no access)",8B,Report confirms LLaMA-3.1-8B-Instruct skipped: gated no access.
D072,Slide 11,mismatched,results/summary/final_table.csv,24 LLM rows (3 models x 2 datasets x 2 templates x 2 shots) + 6 baseline rows,12 LLM runs + 4 baseline runs,"final_table.csv has 24 LLM rows and 6 baseline rows (finbert/finbert_tone/vader x2); report says ""24 LLM runs"". (recheck) review/evidence/deck_main_dump.md line 145 says '12 LLM runs (3 models x 2 datasets x 2 templates x {0, 3}-shot) + 4 baseline runs.' The formula 3x2x2x2 = 24, and results/summary/final_table.csv has 24 LLM rows (report.md line 101 says '24 LLM runs'). Baseline rows in final_table.csv are 6 (finbert, finbert_tone, vader x FPB+FiQA), not 4. Both the '12' and the '4' are wrong. Mismatched."
D073,Slide 11,matched,report/report.md,seed = 42 everywhere; greedy decoding,42,Report line 155 confirms seed=42 used everywhere (subsample/few-shot/baselines).
D074,Slide 14,matched,results/summary/final_table.csv,FinBERT 110M (ProsusAI/finbert),110M,Report table row labels FinBERT specialised 110M; consistent with baselines list.
D075,Slide 14,matched,results/summary/final_table.csv,0.9254,0.925,finbert FPB f1_macro=0.9254 rounds to 0.925.
D076,Slide 14,matched,results/summary/final_table.csv,0.9348,0.935,finbert FPB accuracy=0.9348 rounds to 0.935 (col mislabeled f1_macro in claims sheet but value is Acc).
D077,Slide 14,matched,results/summary/final_table.csv,0.482,0.482,finbert FiQA f1_macro=0.482 exact match.
D078,Slide 14,matched,results/summary/final_table.csv,0.4979,0.498,finbert FiQA accuracy=0.4979 rounds to 0.498.
D079,Slide 14,matched,results/summary/final_table.csv,Qwen/Qwen2.5-7B-Instruct,7B,Model name confirms Qwen2.5-7B-Instruct in final_table.csv/report table.
D080,Slide 14,matched,results/summary/final_table.csv,0.8324,0.832,qwen25_7b best FPB (A/3shot) f1_macro=0.8324 rounds to 0.832.
D081,Slide 14,matched,results/summary/final_table.csv,0.86,0.860,qwen25_7b best FPB (A/3shot) accuracy=0.86 matches 0.860.
D082,Slide 14,matched,results/summary/final_table.csv,0.6727,0.673,qwen25_7b best FiQA (B/0shot) f1_macro=0.6727 rounds to 0.673.
D083,Slide 14,matched,results/summary/final_table.csv,0.7167,0.717,qwen25_7b best FiQA (B/0shot) accuracy=0.7167 rounds to 0.717.
D084,Slide 14,matched,results/summary/final_table.csv,mistralai/Mistral-7B-Instruct-v0.3,7B,Model name confirms Mistral-7B-Instruct-v0.3 in final_table.csv/report table.
D085,Slide 14,matched,results/summary/final_table.csv,0.8897,0.890,mistral7b best FPB (A/3shot) f1_macro=0.8897 rounds to 0.890.
D086,Slide 14,matched,results/summary/final_table.csv,0.9033,0.903,mistral7b best FPB (A/3shot) accuracy=0.9033 rounds to 0.903.
D087,Slide 14,matched,results/summary/final_table.csv,0.5989,0.599,mistral7b best FiQA (A/0shot) f1_macro=0.5989 rounds to 0.599.
D088,Slide 14,matched,results/summary/final_table.csv,0.62,0.620,mistral7b best FiQA (A/0shot) accuracy=0.62 matches 0.620.
D089,Slide 14,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,Model name confirms plutus-8B-instruct in final_table.csv/report table.
D090,Slide 14,matched,results/summary/final_table.csv,0.8291,0.829,plutus8b best FPB (A/3shot) f1_macro=0.8291 rounds to 0.829; also in recomputed_metrics.csv.
D091,Slide 14,matched,results/summary/final_table.csv,0.8508,0.851,plutus8b best FPB (A/3shot) accuracy=0.8508 rounds to 0.851; also in recomputed_metrics.csv.
D092,Slide 14,matched,results/summary/final_table.csv,0.5966,0.597,plutus8b best FiQA (A/0shot) f1_macro=0.5966 rounds to 0.597; also in recomputed_metrics.csv.
D093,Slide 14,matched,results/summary/final_table.csv,0.6567,0.657,plutus8b best FiQA (A/0shot) accuracy=0.6567 rounds to 0.657; also in recomputed_metrics.csv.
D094,Slide 14,matched,results/summary/final_table.csv,0.4694,0.469,vader FPB f1_macro=0.4694 rounds to 0.469.
D095,Slide 14,matched,results/summary/final_table.csv,0.5536,0.554,vader FPB accuracy=0.5536 rounds to 0.554.
D096,Slide 14,matched,results/summary/final_table.csv,0.3863,0.386,vader FiQA f1_macro=0.3863 rounds to 0.386.
D097,Slide 14,matched,results/summary/final_table.csv,0.4228,0.423,vader FiQA accuracy=0.4228 rounds to 0.423.
D098,Slide 14,matched,scripts/screenshot_dashboard.py,dashboard runs on port 8502,8502,Dashboard port 8502 confirmed used in scripts/screenshot_dashboard.py and presentation/build_deck.js.
D099,Slide 15,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,plutus-8B model identity confirmed (8B param financial-tuned model).
D100,Slide 15,matched,results/summary/final_table.csv,0.8291,0.829,plutus8b best FPB f1_macro=0.8291 rounds to 0.829; matches recomputed_metrics.csv.
D101,Slide 15,matched,results/summary/final_table.csv,0.5966,0.597,plutus8b best FiQA f1_macro=0.5966 rounds to 0.597; matches recomputed_metrics.csv.
R001,Executive summary,mismatched,results/_modal_spend.json,total_usd=1.1261,$1.3,"Ledger sums to $1.13 not $1.3 rounded; report line 518 also says ~$1.3, ~14% gap (recheck) report/report.md line 7 states 'Total spend: ~$1.3'. results/_modal_spend.json sums to total_usd=1.1698 (stored) / ~1.176 recomputed over 52 runs; excluding the two 2026-07-05 runs it is ~1.126. All variants land at ~$1.1-1.18, which rounds to $1.2, not $1.3 (~10-14% overstatement). Even as a '~' approximation the leading value is wrong. Mismatched."
R002,Executive summary,non_checkable,N/A,N/A,404,FinLLaMA-instruct 404/unpublished is an external HF-hosting fact; consistent with code_verification.md finding zero FinLLaMA runs
R003,Executive summary,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,plutus-8B model size label matches roster
R004,Executive summary,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,plutus-8B model size label matches roster
R005,Executive summary,matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,plutus-8B model size label matches roster
R006,Executive summary,matched,results/summary/final_table.csv,mistralai/Mistral-7B-Instruct-v0.3,7B,Mistral-7B model size label matches roster
R007,Executive summary,matched,results/summary/final_table.csv,Qwen/Qwen2.5-7B-Instruct,7B,Qwen2.5-7B model size label matches roster
R008,Executive summary,matched,results/summary/final_table.csv,"FPB: mistral7b=0.803>plutus8b=0.6617(0shot A); FiQA: qwen25_7b=0.5785>plutus8b=0.5966(0shot,mixed)/qwen B 0.6727>plutus",8B,"plutus mid-pack; beaten by Mistral on FPB template A and by Qwen on FiQA template B, consistent with claim"
R009,Executive summary,matched,results/summary/final_table.csv,max template A/B F1 gap = 16.44pt (plutus FiQA 0shot),16 points,"Computed max template gap across 6 model x dataset 0-shot cells = 16.44pt, rounds to 16"
R010,Executive summary,matched,results/summary/ensemble_table.csv,cv_weighted mean ens_cov across 6 cells = 0.9956,100%,"CV-weighted coverage ~99.6%, rounds to ~100% as claimed"
R011,Executive summary,matched,results/summary/final_table.csv,n_samples=300 for all LLM sentiment cells,300,LLM sentiment subsamples are 300 per artifact map and final_table.csv
