claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
D016,Slide 9,matched,review/evidence/deck_main_dump.md,"Five models across three families incl. plutus-8B (8B) per model table","8B",Consistent with Slide 9 model table.
D017,Slide 9,matched,review/evidence/deck_main_dump.md,"TheFinAI/plutus-8B-instruct | 8B - LLaMA-3, 4-bit","8B",Matches Slide 9 table cell exactly.
D018,Slide 9,matched,review/evidence/deck_main_dump.md,"8B - LLaMA-3, 4-bit","8B - LLaMA-3, 4-bit",Exact table cell match.
D019,Slide 9,matched,results/summary/final_table.csv,"mistralai/Mistral-7B-Instruct-v0.3 model_hf_id present, 7B per model table","7B",Matches model_hf_id column and Slide 9 table.
D020,Slide 9,matched,review/evidence/deck_main_dump.md,"7B - 4-bit","7B - 4-bit",Exact table cell match.
D021,Slide 9,matched,results/summary/final_table.csv,"Qwen/Qwen2.5-7B-Instruct model_hf_id present, 7B per model table","7B",Matches model_hf_id column and Slide 9 table.
D022,Slide 9,matched,review/evidence/deck_main_dump.md,"7B - 4-bit","7B - 4-bit",Exact table cell match.
D023,Slide 9,matched,review/evidence/deck_main_dump.md,"110M - BERT classifier","110M",ProsusAI/finbert is a 110M-parameter BERT-base classifier per Slide 9 table.
D024,Slide 9,matched,project_plan.md,"LLaMA-3.1-8B-Instruct requires gated HF access (meta-llama/Llama-3.1-8B-Instruct); noted as blocker","3.1",Plan explicitly notes LLaMA-3.1 gated-access risk/blocker.
D025,Slide 9,matched,project_plan.md,"LLaMA-3.1-8B-Instruct 8B gated model per plan's model table","8B",Plan lists LLaMA-3.1-8B-Instruct as 8B; consistent with skip rationale.
D026,Slide 11,matched,results/summary/final_table.csv,"3 LLM models x 2 datasets x 2 templates x 2 shot-settings = 12 LLM rows; plus 4 baseline rows (finbert, finbert_tone, vader x FPB/FiQA minus dupes)","12",final_table.csv has exactly 12 LLM rows (mistral7b/plutus8b/qwen25_7b x FPB/FiQA x A/B x 0/3) + baseline rows.
D027,Slide 11,matched,results/summary/final_table.csv,"seed=42 for every row in final_table.csv","42",All 26 rows show seed=42.
D028,Slide 14,matched,review/evidence/deck_main_dump.md,"plutus-8B-instruct (focal) row label present in Slide 14 table template","8B",Row label present (values still [NUM] placeholders in main/undated deck).
D029,Slide 14,matched,review/evidence/deck_main_dump.md,"Mistral-7B-Instruct-v0.3 row label present in Slide 14 table template","7B",Row label present in main deck's Slide 14 table.
D030,Slide 14,matched,review/evidence/deck_main_dump.md,"Qwen2.5-7B-Instruct row label present in Slide 14 table template","7B",Row label present in main deck's Slide 14 table.
D031,Slide 14,matched,presentation/build_deck.js,"Source: results/summary/final_table.csv (dashboard at :8502)","8502",build_deck.js line 548 caption references :8502 dashboard exactly.
D032,Slide 19,matched,review/evidence/deck_main_dump.md,"Below ~95% is a flag (parsing coverage note)","95%",Exact quote match in Slide 19 dump.
D033,Slide 20,non_checkable,review/evidence/deck_main_dump.md,"Slide 20 'Focal wins, generals miss' card has placeholder '[paste sample text]' with illustrative labels","Gold: positive / plutus-8B: positive / Mistral: neutral / Qwen2.5: neutral",Illustrative example-card template with placeholder text, not a claim tied to a specific verifiable sample/prediction.
D034,Slide 20,non_checkable,review/evidence/deck_main_dump.md,"Slide 20 'Generals win, focal misses' card has placeholder '[paste sample text]' with illustrative labels","Gold: negative / Mistral: negative / plutus-8B: neutral",Illustrative example-card template with placeholder text, not a claim tied to a specific verifiable sample/prediction.
