claim_id,section,sentence,metric_type,value,context_keys
R020,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","We report on the 75%-agreement split (690 test sentences, 20% seed-42 hold-out) — the conventional FPB benchmark setting, balancing label quality against sample size — and additionally validate on the 100%-agreement gold in §6.4.",percent,20%,FPB
R021,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","We report on the 75%-agreement split (690 test sentences, 20% seed-42 hold-out) — the conventional FPB benchmark setting, balancing label quality against sample size — and additionally validate on the 100%-agreement gold in §6.4.",count,42,FPB
R022,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","We report on the 75%-agreement split (690 test sentences, 20% seed-42 hold-out) — the conventional FPB benchmark setting, balancing label quality against sample size — and additionally validate on the 100%-agreement gold in §6.4.",percent,100%,FPB
R023,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","FiQA-SA — microblog/news financial sentiment with a continuous score in [-1, 1], bucketed to 3 classes with a ±0.10 neutral band (1,173 test items).",f1_macro,0.10,FiQA; FiQA-SA
R024,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER",FIN / Alvarado-2015 — the dataset behind the paper’s Table 7 NER column (the public PIXIU flare-ner subset is 98 examples).,count,98,
R025,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Baselines that matter for the claim: - FinBERT (ProsusAI/finbert) and FinBERT-tone (yiyanghkust/finbert-tone) — 110M finance-tuned classifiers; the conventional, cheap finance sentiment tools. - VADER — a rule/lexicon sentiment model with no learning; the “is this better than a dictionary?” floor. - GLiNER (small/large) — specialised zero-shot NER models.",count,110M,FinBERT; VADER; GLiNER; zero-shot; shot
R026,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Model under test' col='What we did' cell='plutus-8B-instruct substituted for FinLLaMA-instruct' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,8B,
R027,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Model under test' col='Why' cell='FinLLaMA-instruct returns 404 (un-published). plutus is the same group’s current 8B financial-instruct model. Comparison is indicative, not identical.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,404,
R028,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Model under test' col='Why' cell='FinLLaMA-instruct returns 404 (un-published). plutus is the same group’s current 8B financial-instruct model. Comparison is indicative, not identical.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,8B,
R029,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Sentiment scale' col='What we did' cell='300-sentence balanced subsample per LLM run; full test set for the cheap baselines' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,300,
R030,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Sentiment scale' col='Why' cell='Keeps 24 LLM runs inside a < $1 GPU budget; baselines are free so they run on everything.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,24,
R031,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Sentiment scale' col='Why' cell='Keeps 24 LLM runs inside a < $1 GPU budget; baselines are free so they run on everything.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",money,$1,
R032,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='NER scale' col='What we did' cell='FiNER-ORD 200–300 subsample; FIN = the full public 98-example set' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,200,
R033,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='NER scale' col='What we did' cell='FiNER-ORD 200–300 subsample; FIN = the full public 98-example set' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,300,
R034,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='NER scale' col='What we did' cell='FiNER-ORD 200–300 subsample; FIN = the full public 98-example set' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,98,
R035,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Precision' col='What we did' cell='4-bit (bitsandbytes) for every 7–8B model' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,8B,
R036,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Precision' col='Why' cell='Two 8B models will not coexist on a 16 GB T4 otherwise.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,8B,
R037,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","[Table 1] row='Precision' col='Why' cell='Two 8B models will not coexist on a 16 GB T4 otherwise.' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,16,
R038,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",count,404,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R039,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",other,3.1,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R040,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",count,8B,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R041,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",count,7B,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R042,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",count,403,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R043,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 3. Objective — exactly what we reproduced, adapted, and simplified > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","Models we could not evaluate (documented, not silently dropped): FinLLaMA-instruct (404), LLaMA-3.1-8B-Instruct (gated, no access), FinMA-7B-full (gated, 403), Qwen3-8B initially (needed a newer transformers; later run on the NER track).",count,8B,FinLLaMA; LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
R044,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 4. System design > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"FinBERTRunner/VADERRunner/GLiNER return canonical labels directly (no parser needed, so they are always 100% coverage). - Three deliberately diverse prompts so the ensemble members disagree in useful ways: A = “Classify the sentiment … positive/negative/neutral”; B = “You are a financial analyst …” with an explicit definition list; C = a market-reaction framing (“how would this move an investor’s outlook — bullish / bearish / neutral”). - Software stack. transformers + bitsandbytes (4-bit) on a Modal T4 container with a hard $7 budget guard and a per-run cost ledger; HF weights cached in a Modal volume.",coverage,100%,FinBERT; VADER; GLiNER
R045,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 4. System design > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"FinBERTRunner/VADERRunner/GLiNER return canonical labels directly (no parser needed, so they are always 100% coverage). - Three deliberately diverse prompts so the ensemble members disagree in useful ways: A = “Classify the sentiment … positive/negative/neutral”; B = “You are a financial analyst …” with an explicit definition list; C = a market-reaction framing (“how would this move an investor’s outlook — bullish / bearish / neutral”). - Software stack. transformers + bitsandbytes (4-bit) on a Modal T4 container with a hard $7 budget guard and a per-run cost ledger; HF weights cached in a Modal volume.",coverage,$7,FinBERT; VADER; GLiNER
R046,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 5. Experimental design > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,Determinism. seed = 42 everywhere; greedy decoding (temperature = 0); balanced few-shot sampling from the FPB train pool.,count,42,FPB; few-shot; shot
R047,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 5. Experimental design > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Headline macro-F1s carry 95% bootstrap confidence intervals (2,000 resamples of the per-example predictions; bootstrap_ci.py), so the reader can see which gaps are real and which are subsample noise.",f1_macro,95%,
R048,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"[Table 2] row='FinBERT (110M, in-domain)' col='Model' cell='FinBERT (110M, in-domain)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",count,110M,FinBERT
R049,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"[Table 2] row='FinBERT (110M, in-domain)' col='FPB F1ₘ' cell='0.925' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",f1_macro,0.925,FinBERT; FPB
R050,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"[Table 2] row='FinBERT (110M, in-domain)' col='FPB Acc' cell='0.935' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",f1_macro,0.935,FinBERT; FPB
R051,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"[Table 2] row='FinBERT (110M, in-domain)' col='FiQA F1ₘ' cell='0.482' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",f1_macro,0.482,FinBERT; FiQA
R052,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"[Table 2] row='FinBERT (110M, in-domain)' col='FiQA Acc' cell='0.498' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER)",f1_macro,0.498,FinBERT; FiQA
R053,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='FinBERT-tone (110M)' col='Model' cell='FinBERT-tone (110M)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),count,110M,FinBERT
R054,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='FinBERT-tone (110M)' col='FPB F1ₘ' cell='0.855' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.855,FinBERT; FPB
R055,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='FinBERT-tone (110M)' col='FPB Acc' cell='0.881' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.881,FinBERT; FPB
R056,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='FinBERT-tone (110M)' col='FiQA F1ₘ' cell='0.396' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.396,FinBERT; FiQA
R057,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='FinBERT-tone (110M)' col='FiQA Acc' cell='0.389' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.389,FinBERT; FiQA
R058,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Mistral-7B-Instruct-v0.3 (general)' col='Model' cell='Mistral-7B-Instruct-v0.3 (general)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),count,7B,Instruct
R059,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Mistral-7B-Instruct-v0.3 (general)' col='FPB F1ₘ' cell='0.890' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.890,Instruct; FPB
